Load address: $1000 Init address: $1000 Play address: $1003
Calling initroutine with subtune 0
Calling playroutine for 400 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   144 | ....  ... ..  25 .... ... | ....  ... ..  .. .... B0A | ....  ... ..  .. .... B0A | 0500 .. ... . |
|   145 | ....  ... ..  54 0F00 ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0600 .. ... . |
|   146 | ....  ... ..  24 .... ... | 0752 (A-2 A1) .. .... B10 | 0837 (B-2 A3) .. .... B10 | 0700 .. ... . |
|   147 | ....  ... ..  09 007C ... | ....  ... ..  .. .... B16 | ....  ... ..  .. .... B16 | 0800 .. ... . |
|   148 | 02BE  E-1 90  41 .... 440 | ....  ... ..  .. .... B1C | ....  ... ..  .. .... B1C | 0900 .. ... . |
|   149 | ....  ... ..  .. .... 450 | 045A (C-2 98) .. .... B22 | 04E2 (D-2 9A) .. .... B22 | 0A00 .. ... . |
|   150 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0B00 .. ... . |
|   151 | ....  ... ..  .. .... 460 | ....  ... ..  .. .... B28 | ....  ... ..  .. .... B28 | 0C00 .. ... . |
|   152 | ....  ... ..  .. .... 470 | 057C (E-2 9C) .. .... B2E | 0628 (F#2 9E) .. .... B2E | 0D00 .. ... . |
|   153 | ....  ... ..  .. .... 480 | ....  ... ..  .. .... B34 | ....  ... ..  .. .... B34 | 0E00 .. ... . |
|   154 | ....  ... ..  .. .... 490 | ....  ... ..  .. .... B3A | ....  ... ..  .. .... B3A | 0F00 .. ... . |
|   155 | ....  ... ..  .. .... ... | 0752 (A-2 A1) .. .... ... | 0837 (B-2 A3) .. .... ... | 1000 .. ... . |
|   156 | ....  ... ..  .. .... 4A0 | ....  ... ..  .. .... B40 | ....  ... ..  .. .... B40 | 1100 .. ... . |
|   157 | ....  ... ..  .. .... 4B0 | ....  ... ..  .. .... B46 | ....  ... ..  .. .... B46 | 1200 .. ... . |
|   158 | ....  ... ..  .. .... 4C0 | 045A (C-2 98) .. .... B4C | 04E2 (D-2 9A) .. .... B4C | 1300 .. ... . |
|   159 | ....  ... ..  .. .... 4D0 | ....  ... ..  .. .... B52 | ....  ... ..  .. .... B52 | 1400 .. ... . |
|   160 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1500 .. ... . |
|   161 | ....  ... ..  .. .... 4E0 | 057C (E-2 9C) .. .... B58 | 0628 (F#2 9E) .. .... B58 | 1600 .. ... . |
|   162 | ....  ... ..  .. .... 4F0 | ....  ... ..  .. .... B5E | ....  ... ..  .. .... B5E | 1700 .. ... . |
|   163 | ....  ... ..  .. .... 500 | ....  ... ..  .. .... B64 | ....  ... ..  .. .... B64 | 1800 .. ... . |
|   164 | ....  ... ..  .. .... 510 | 0752 (A-2 A1) .. .... B6A | 0837 (B-2 A3) .. .... B6A | 1900 .. ... . |
|   165 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1A00 .. ... . |
|   166 | ....  ... ..  .. .... 520 | ....  ... ..  .. .... B70 | ....  ... ..  .. .... B70 | 1B00 .. ... . |
|   167 | ....  ... ..  09 0839 ... | 045A (C-2 98) .. .... B76 | 04E2 (D-2 9A) .. .... B76 | 1C00 .. ... . |
|   168 | 24E2  C#5 BD  81 .... 800 | ....  ... ..  .. .... B7C | ....  ... ..  .. .... B7C | 0000 11 L+H . |
|   169 | 07C1 (A#2 A2) 41 .... ... | ....  ... ..  .. .... B82 | ....  ... ..  .. .... B82 | 1100 C1 Low . |
|   170 | 15EE (E-4 B4) 25 .... ... | 057C (E-2 9C) .. .... ... | 0628 (F#2 9E) .. .... ... | 0100 .. ... . |
|   171 | ....  ... ..  55 .... ... | ....  ... ..  .. .... B88 | ....  ... ..  .. .... B88 | 0200 .. ... . |
|   172 | ....  ... ..  25 .... ... | ....  ... ..  .. .... B8E | ....  ... ..  .. .... B8E | 0300 .. ... . |
|   173 | ....  ... ..  55 .... ... | 0752 (A-2 A1) .. .... B94 | 0837 (B-2 A3) .. .... B94 | 0400 .. ... . |
|   174 | ....  ... ..  25 .... ... | ....  ... ..  .. .... B9A | ....  ... ..  .. .... B9A | 0500 .. ... . |
|   175 | ....  ... ..  54 0F00 ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0600 .. ... . |
|   176 | ....  ... ..  24 .... ... | 045A (C-2 98) .. .... BA0 | 04E2 (D-2 9A) .. .... BA0 | 0700 .. ... . |
