Load address: $C000 Init address: $C048 Play address: $C021
Calling initroutine with subtune 0
Calling playroutine for 400 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   121 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... EB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   122 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... F32 | ....  ... ..  .. .... ... | .... .. ... . |
|   123 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... FB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   124 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 032 | ....  ... ..  .. .... ... | .... .. ... . |
|   125 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 0B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   126 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 132 | ....  ... ..  .. .... ... | .... .. ... . |
|   127 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 1B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   128 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   129 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 2B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   130 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 332 | ....  ... ..  .. .... ... | 1E00 .. ... . |
|   131 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 3B2 | ....  ... ..  .. .... ... | 2200 .. ... . |
|   132 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 432 | ....  ... ..  .. .... ... | 2600 .. ... . |
|   133 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 4B2 | ....  ... ..  .. .... ... | 2A00 .. ... . |
|   134 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 532 | ....  ... ..  .. .... ... | 2E00 .. ... . |
|   135 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 5B2 | ....  ... ..  .. .... ... | 3200 .. ... . |
|   136 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 632 | ....  ... ..  .. .... ... | 3600 .. ... . |
|   137 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 6B2 | ....  ... ..  .. .... ... | 3A00 .. ... . |
|   138 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 732 | ....  ... ..  .. .... ... | 3E00 .. ... . |
|   139 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 7B2 | ....  ... ..  .. .... ... | 4200 .. ... . |
|   140 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 832 | ....  ... ..  .. .... ... | 4600 .. ... . |
|   141 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 8B2 | ....  ... ..  .. .... ... | 4A00 .. ... . |
|   142 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 932 | ....  ... ..  .. .... ... | 4E00 .. ... . |
|   143 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 9B2 | ....  ... ..  .. .... ... | 5200 .. ... . |
|   144 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... A32 | ....  ... ..  .. .... ... | 5600 .. ... . |
|   145 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... AB2 | ....  ... ..  .. .... ... | 5A00 .. ... . |
|   146 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... B32 | ....  ... ..  .. .... ... | 5E00 .. ... . |
|   147 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... BB2 | ....  ... ..  .. .... ... | 6200 .. ... . |
|   148 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... C32 | ....  ... ..  .. .... ... | 6600 .. ... . |
|   149 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... CB2 | ....  ... ..  .. .... ... | 6A00 .. ... . |
|   150 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... D32 | ....  ... ..  .. .... ... | .... .. ... . |
|   151 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... DB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   152 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... E32 | ....  ... ..  .. .... ... | .... .. ... . |
|   153 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... EB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   154 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... F32 | ....  ... ..  .. .... ... | .... .. ... . |
|   155 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... FB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   156 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 032 | ....  ... ..  .. .... ... | .... .. ... . |
|   157 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 0B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   158 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 132 | ....  ... ..  .. .... ... | .... .. ... . |
|   159 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 1B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   160 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 232 | ....  ... ..  .. .... ... | .... .. ... . |
|   161 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 2B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   162 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 332 | ....  ... ..  .. .... ... | .... .. ... . |
|   163 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 3B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   164 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 432 | ....  ... ..  .. .... ... | .... .. ... . |
|   165 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 4B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   166 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 532 | ....  ... ..  .. .... ... | .... .. ... . |
|   167 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 5B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   168 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 632 | ....  ... ..  .. .... ... | .... .. ... . |
|   169 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 6B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   170 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 732 | ....  ... ..  .. .... ... | .... .. ... . |
|   171 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 7B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   172 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 832 | ....  ... ..  .. .... ... | .... .. ... . |
|   173 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 8B2 | ....  ... ..  .. .... ... | .... .. ... . |
